student_id,admit_term,program_stream,undergrad_major,gpa_entry,co_op_status,demographic_group,citizenship_status,interests,learning_style,work_experience_years
STU-0089,2024F,MAC-General,Electrical Engineering,3.09,placed,Group-C,international,cloud-computing|entrepreneurship|project-management,lecture,6.1
STU-0090,2025W,MAC-General,Mathematics,3.33,placed,Group-B,international,entrepreneurship|machine-learning|project-management,lecture,3.6
STU-0091,2024F,MAC-General,Computer Science,3.09,not-applicable,Group-A,international,cloud-computing|cybersecurity|machine-learning|software-engineering,lecture,5.4
STU-0092,2025F,MAC-General,Software Engineering,3.30,placed,Group-C,international,cybersecurity|human-centered-design|machine-learning|software-engineering,self-paced,7.0
STU-0093,2024F,MAC-AI,Mathematics,3.22,not-applicable,Group-C,domestic,cloud-computing|cybersecurity|entrepreneurship|human-centered-design,project-based,7.6
STU-0094,2025W,MAC-AI,Information Technology,3.42,placed,Group-D,international,cloud-computing|entrepreneurship|machine-learning|project-management,lecture,7.9
STU-0095,2025F,MAC-General,Data Science,2.98,seeking,Group-D,international,cloud-computing|cybersecurity|project-management|software-engineering,self-paced,6.5
STU-0096,2024F,MAC-General,Mathematics,3.16,placed,Group-C,international,cloud-computing|cybersecurity|data-analytics|human-centered-design,lecture,0.4
STU-0097,2024F,MAC-General,Data Science,2.97,not-applicable,Group-B,international,cloud-computing|data-analytics|human-centered-design|machine-learning,self-paced,4.6
STU-0098,2025W,MAC-General,Information Technology,3.30,seeking,Group-D,domestic,cybersecurity|data-analytics|human-centered-design|project-management,lecture,7.2
STU-0099,2025W,MAC-General,Mathematics,3.11,seeking,Group-A,international,cybersecurity|human-centered-design|machine-learning,self-paced,4.0
STU-0100,2025W,MAC-AI,Data Science,3.22,not-applicable,Group-C,domestic,cloud-computing|cybersecurity|project-management,self-paced,1.2
STU-0101,2024F,MAC-General,Software Engineering,2.98,not-applicable,Group-A,domestic,human-centered-design|machine-learning|project-management|software-engineering,self-paced,5.7
STU-0102,2025W,MAC-General,Electrical Engineering,3.19,seeking,Group-C,domestic,cloud-computing|entrepreneurship|software-engineering,self-paced,6.5
STU-0103,2024F,MAC-AI,Computer Science,3.06,placed,Group-A,international,cloud-computing|human-centered-design|software-engineering,lecture,0.8
STU-0104,2025F,MAC-General,Computer Science,3.20,not-applicable,Group-B,international,entrepreneurship|human-centered-design|project-management,self-paced,3.5
STU-0105,2024F,MAC-AI,Electrical Engineering,2.81,seeking,Group-B,domestic,human-centered-design|machine-learning|project-management,lecture,6.6
STU-0106,2025F,MAC-General,Mathematics,3.23,not-applicable,Group-A,international,data-analytics|human-centered-design|software-engineering,lecture,6.8
STU-0107,2025W,MAC-General,Data Science,3.63,placed,Group-B,international,cloud-computing|data-analytics|machine-learning,self-paced,7.0
STU-0108,2025W,MAC-General,Software Engineering,3.37,placed,Group-D,international,cloud-computing|entrepreneurship|machine-learning,lecture,7.9
STU-0109,2025W,MAC-AI,Data Science,3.24,seeking,Group-D,international,cloud-computing|data-analytics|software-engineering,lecture,3.1
STU-0110,2025W,MAC-General,Mathematics,2.94,placed,Group-D,international,cloud-computing|entrepreneurship|human-centered-design|machine-learning,lecture,4.8
STU-0111,2025F,MAC-General,Mathematics,3.30,not-applicable,Group-C,international,cybersecurity|machine-learning|software-engineering,project-based,1.8
STU-0112,2024F,MAC-General,Data Science,3.50,seeking,Group-C,international,data-analytics|software-engineering,project-based,3.5
STU-0113,2024F,MAC-AI,Mathematics,3.07,not-applicable,Group-A,domestic,data-analytics|entrepreneurship|human-centered-design|software-engineering,project-based,1.1
STU-0114,2025F,MAC-General,Electrical Engineering,3.23,seeking,Group-D,international,cloud-computing|project-management,project-based,1.0
STU-0115,2025F,MAC-AI,Electrical Engineering,3.08,not-applicable,Group-D,domestic,data-analytics|human-centered-design|machine-learning,self-paced,2.5
STU-0116,2025W,MAC-AI,Electrical Engineering,3.31,placed,Group-B,international,human-centered-design|machine-learning,lecture,6.7
STU-0117,2025F,MAC-General,Electrical Engineering,3.23,not-applicable,Group-C,international,entrepreneurship|project-management|software-engineering,project-based,4.6
STU-0118,2025F,MAC-General,Software Engineering,3.27,not-applicable,Group-A,international,cybersecurity|entrepreneurship|human-centered-design|software-engineering,project-based,4.8
STU-0119,2025F,MAC-AI,Software Engineering,3.27,placed,Group-B,international,entrepreneurship|machine-learning|project-management|software-engineering,self-paced,2.9
STU-0120,2024F,MAC-General,Electrical Engineering,3.16,placed,Group-B,international,cloud-computing|cybersecurity|data-analytics,self-paced,0.5
