student_id,preference_type,preference_value,weight,source
STU-0011,skills_to_build,data-analytics|visualization,0.48,advisor_note
STU-0012,career_goal,product-manager,0.95,survey
STU-0012,delivery_mode,hybrid,0.35,survey
STU-0012,time_of_day,evening,0.48,survey
STU-0012,skills_to_build,data-analytics|visualization,0.85,advisor_note
STU-0013,career_goal,product-manager,0.69,survey
STU-0013,delivery_mode,online,0.54,survey
STU-0013,time_of_day,afternoon,0.45,survey
STU-0013,skills_to_build,cloud-computing|devops,0.89,advisor_note
STU-0014,career_goal,software-architect,0.75,survey
STU-0014,delivery_mode,hybrid,0.63,survey
STU-0014,time_of_day,evening,0.23,survey
STU-0014,skills_to_build,cybersecurity|threat-modeling,0.56,advisor_note
STU-0015,career_goal,product-manager,0.93,survey
STU-0015,delivery_mode,online,0.45,survey
STU-0015,time_of_day,afternoon,0.30,survey
STU-0015,skills_to_build,cloud-computing|devops,0.50,advisor_note
STU-0016,career_goal,cloud-engineer,0.97,survey
STU-0016,delivery_mode,hybrid,0.46,survey
STU-0016,time_of_day,afternoon,0.24,survey
STU-0016,skills_to_build,cybersecurity|threat-modeling,0.69,advisor_note
STU-0017,career_goal,cloud-engineer,0.94,survey
STU-0017,delivery_mode,hybrid,0.62,survey
STU-0017,time_of_day,morning,0.24,survey
STU-0017,skills_to_build,machine-learning|model-deployment,0.51,advisor_note
STU-0018,career_goal,software-architect,0.68,survey
STU-0018,delivery_mode,hybrid,0.65,survey
STU-0018,time_of_day,evening,0.46,survey
STU-0018,skills_to_build,machine-learning|model-deployment,0.77,advisor_note
STU-0019,career_goal,cloud-engineer,0.79,survey
STU-0019,delivery_mode,hybrid,0.31,survey
STU-0019,time_of_day,morning,0.55,survey
STU-0019,skills_to_build,machine-learning|model-deployment,0.82,advisor_note
STU-0020,career_goal,cybersecurity-analyst,0.82,survey
STU-0020,delivery_mode,online,0.39,survey
STU-0020,time_of_day,evening,0.29,survey
STU-0020,skills_to_build,leadership|communication,0.82,advisor_note
STU-0021,career_goal,cloud-engineer,0.74,survey
STU-0021,delivery_mode,in-person,0.72,survey
STU-0021,time_of_day,morning,0.34,survey
STU-0021,skills_to_build,machine-learning|model-deployment,0.85,advisor_note
STU-0022,career_goal,software-architect,0.98,survey
STU-0022,delivery_mode,hybrid,0.75,survey
STU-0022,time_of_day,evening,0.31,survey
STU-0022,skills_to_build,cloud-computing|devops,0.45,advisor_note
STU-0023,career_goal,cybersecurity-analyst,0.66,survey
STU-0023,delivery_mode,in-person,0.43,survey
STU-0023,time_of_day,morning,0.28,survey
STU-0023,skills_to_build,leadership|communication,0.48,advisor_note
STU-0024,career_goal,cloud-engineer,0.80,survey
STU-0024,delivery_mode,online,0.42,survey
STU-0024,time_of_day,evening,0.32,survey
STU-0024,skills_to_build,data-analytics|visualization,0.81,advisor_note
STU-0025,career_goal,ai-specialist,0.99,survey
STU-0025,delivery_mode,online,0.30,survey
STU-0025,time_of_day,morning,0.50,survey
STU-0025,skills_to_build,cybersecurity|threat-modeling,0.56,advisor_note
STU-0026,career_goal,cybersecurity-analyst,0.60,survey
STU-0026,delivery_mode,online,0.51,survey
STU-0026,time_of_day,morning,0.58,survey
STU-0026,skills_to_build,cybersecurity|threat-modeling,0.77,advisor_note
STU-0027,career_goal,product-manager,0.91,survey
STU-0027,delivery_mode,in-person,0.78,survey
STU-0027,time_of_day,morning,0.40,survey
STU-0027,skills_to_build,data-analytics|visualization,0.74,advisor_note
STU-0028,career_goal,ai-specialist,0.82,survey
STU-0028,delivery_mode,online,0.77,survey
STU-0028,time_of_day,evening,0.34,survey
STU-0028,skills_to_build,leadership|communication,0.79,advisor_note
STU-0029,career_goal,cloud-engineer,0.64,survey
STU-0029,delivery_mode,online,0.55,survey
STU-0029,time_of_day,afternoon,0.41,survey
STU-0029,skills_to_build,cybersecurity|threat-modeling,0.82,advisor_note
STU-0030,career_goal,product-manager,0.85,survey
STU-0030,delivery_mode,hybrid,0.34,survey
STU-0030,time_of_day,morning,0.32,survey
STU-0030,skills_to_build,machine-learning|model-deployment,0.86,advisor_note
STU-0031,career_goal,product-manager,0.92,survey
STU-0031,delivery_mode,online,0.62,survey
STU-0031,time_of_day,evening,0.21,survey
STU-0031,skills_to_build,leadership|communication,0.74,advisor_note
STU-0032,career_goal,ai-specialist,1.00,survey
STU-0032,delivery_mode,online,0.41,survey
STU-0032,time_of_day,evening,0.36,survey
STU-0032,skills_to_build,leadership|communication,0.86,advisor_note
STU-0033,career_goal,data-analyst,0.93,survey
STU-0033,delivery_mode,online,0.77,survey
STU-0033,time_of_day,evening,0.46,survey
STU-0033,skills_to_build,cybersecurity|threat-modeling,0.50,advisor_note
STU-0034,career_goal,software-architect,0.94,survey
STU-0034,delivery_mode,in-person,0.31,survey
STU-0034,time_of_day,afternoon,0.24,survey
STU-0034,skills_to_build,leadership|communication,0.82,advisor_note
STU-0035,career_goal,cybersecurity-analyst,0.91,survey
STU-0035,delivery_mode,hybrid,0.78,survey
STU-0035,time_of_day,evening,0.33,survey
STU-0035,skills_to_build,cybersecurity|threat-modeling,0.51,advisor_note
STU-0036,career_goal,cybersecurity-analyst,0.99,survey
STU-0036,delivery_mode,hybrid,0.75,survey
STU-0036,time_of_day,morning,0.31,survey
STU-0036,skills_to_build,data-analytics|visualization,0.71,advisor_note
STU-0037,career_goal,ai-specialist,0.64,survey
STU-0037,delivery_mode,in-person,0.68,survey
STU-0037,time_of_day,morning,0.39,survey
STU-0037,skills_to_build,cloud-computing|devops,0.56,advisor_note
STU-0038,career_goal,ai-specialist,0.73,survey
STU-0038,delivery_mode,online,0.62,survey
STU-0038,time_of_day,evening,0.38,survey
STU-0038,skills_to_build,leadership|communication,0.49,advisor_note
STU-0039,career_goal,ai-specialist,0.81,survey
STU-0039,delivery_mode,hybrid,0.32,survey
STU-0039,time_of_day,evening,0.49,survey
STU-0039,skills_to_build,cybersecurity|threat-modeling,0.77,advisor_note
STU-0040,career_goal,data-analyst,0.96,survey
STU-0040,delivery_mode,hybrid,0.76,survey
STU-0040,time_of_day,afternoon,0.58,survey
STU-0040,skills_to_build,leadership|communication,0.71,advisor_note
STU-0041,career_goal,product-manager,0.62,survey
STU-0041,delivery_mode,in-person,0.64,survey
STU-0041,time_of_day,morning,0.39,survey
STU-0041,skills_to_build,cybersecurity|threat-modeling,0.60,advisor_note
STU-0042,career_goal,software-architect,0.84,survey
STU-0042,delivery_mode,online,0.55,survey
STU-0042,time_of_day,afternoon,0.44,survey
STU-0042,skills_to_build,cloud-computing|devops,0.49,advisor_note
STU-0043,career_goal,cybersecurity-analyst,0.63,survey
STU-0043,delivery_mode,hybrid,0.46,survey
STU-0043,time_of_day,evening,0.53,survey
STU-0043,skills_to_build,cybersecurity|threat-modeling,0.88,advisor_note
STU-0044,career_goal,product-manager,0.88,survey
STU-0044,delivery_mode,in-person,0.70,survey
STU-0044,time_of_day,evening,0.48,survey
STU-0044,skills_to_build,data-analytics|visualization,0.88,advisor_note
STU-0045,career_goal,cloud-engineer,0.68,survey
STU-0045,delivery_mode,online,0.51,survey
STU-0045,time_of_day,evening,0.26,survey
STU-0045,skills_to_build,cybersecurity|threat-modeling,0.58,advisor_note
STU-0046,career_goal,cloud-engineer,0.93,survey
STU-0046,delivery_mode,online,0.33,survey
STU-0046,time_of_day,afternoon,0.44,survey
STU-0046,skills_to_build,cloud-computing|devops,0.70,advisor_note
STU-0047,career_goal,ai-specialist,0.95,survey
STU-0047,delivery_mode,in-person,0.52,survey
STU-0047,time_of_day,evening,0.60,survey
STU-0047,skills_to_build,leadership|communication,0.59,advisor_note
STU-0048,career_goal,product-manager,0.64,survey
STU-0048,delivery_mode,online,0.71,survey
STU-0048,time_of_day,evening,0.27,survey
STU-0048,skills_to_build,cybersecurity|threat-modeling,0.69,advisor_note
STU-0049,career_goal,cloud-engineer,0.66,survey
STU-0049,delivery_mode,online,0.43,survey
STU-0049,time_of_day,evening,0.39,survey
STU-0049,skills_to_build,data-analytics|visualization,0.58,advisor_note
STU-0050,career_goal,data-analyst,0.99,survey
STU-0050,delivery_mode,online,0.58,survey
STU-0050,time_of_day,afternoon,0.58,survey
STU-0050,skills_to_build,machine-learning|model-deployment,0.58,advisor_note
STU-0051,career_goal,software-architect,0.76,survey
STU-0051,delivery_mode,hybrid,0.68,survey
STU-0051,time_of_day,evening,0.25,survey
STU-0051,skills_to_build,cybersecurity|threat-modeling,0.80,advisor_note
STU-0052,career_goal,data-analyst,0.72,survey
STU-0052,delivery_mode,in-person,0.69,survey
STU-0052,time_of_day,afternoon,0.32,survey
STU-0052,skills_to_build,leadership|communication,0.87,advisor_note
STU-0053,career_goal,product-manager,0.69,survey
STU-0053,delivery_mode,hybrid,0.65,survey
STU-0053,time_of_day,evening,0.57,survey
STU-0053,skills_to_build,data-analytics|visualization,0.76,advisor_note
STU-0054,career_goal,ai-specialist,0.87,survey
STU-0054,delivery_mode,in-person,0.37,survey
STU-0054,time_of_day,afternoon,0.56,survey
STU-0054,skills_to_build,cloud-computing|devops,0.54,advisor_note
STU-0055,career_goal,data-analyst,0.69,survey
STU-0055,delivery_mode,in-person,0.66,survey
STU-0055,time_of_day,afternoon,0.52,survey
STU-0055,skills_to_build,data-analytics|visualization,0.51,advisor_note
STU-0056,career_goal,data-analyst,0.62,survey
STU-0056,delivery_mode,hybrid,0.30,survey
STU-0056,time_of_day,afternoon,0.44,survey
STU-0056,skills_to_build,cloud-computing|devops,0.81,advisor_note
STU-0057,career_goal,ai-specialist,0.90,survey
STU-0057,delivery_mode,in-person,0.78,survey
STU-0057,time_of_day,afternoon,0.32,survey
STU-0057,skills_to_build,data-analytics|visualization,0.63,advisor_note
STU-0058,career_goal,ai-specialist,0.72,survey
STU-0058,delivery_mode,hybrid,0.50,survey
STU-0058,time_of_day,evening,0.43,survey
STU-0058,skills_to_build,leadership|communication,0.55,advisor_note
STU-0059,career_goal,product-manager,0.94,survey
STU-0059,delivery_mode,hybrid,0.53,survey
STU-0059,time_of_day,evening,0.20,survey
STU-0059,skills_to_build,cybersecurity|threat-modeling,0.47,advisor_note
STU-0060,career_goal,ai-specialist,0.80,survey
STU-0060,delivery_mode,hybrid,0.65,survey
STU-0060,time_of_day,afternoon,0.44,survey
STU-0060,skills_to_build,cybersecurity|threat-modeling,0.49,advisor_note
STU-0061,career_goal,product-manager,0.70,survey
STU-0061,delivery_mode,hybrid,0.66,survey
STU-0061,time_of_day,morning,0.51,survey
STU-0061,skills_to_build,leadership|communication,0.63,advisor_note
STU-0062,career_goal,product-manager,0.91,survey
STU-0062,delivery_mode,in-person,0.59,survey
STU-0062,time_of_day,evening,0.59,survey
STU-0062,skills_to_build,cloud-computing|devops,0.63,advisor_note
STU-0063,career_goal,cybersecurity-analyst,0.88,survey
STU-0063,delivery_mode,online,0.54,survey
STU-0063,time_of_day,morning,0.30,survey
STU-0063,skills_to_build,cloud-computing|devops,0.76,advisor_note
STU-0064,career_goal,cybersecurity-analyst,0.86,survey
STU-0064,delivery_mode,online,0.73,survey
STU-0064,time_of_day,evening,0.49,survey
STU-0064,skills_to_build,data-analytics|visualization,0.68,advisor_note
STU-0065,career_goal,data-analyst,0.73,survey
STU-0065,delivery_mode,in-person,0.54,survey
STU-0065,time_of_day,morning,0.27,survey
STU-0065,skills_to_build,cybersecurity|threat-modeling,0.74,advisor_note
STU-0066,career_goal,data-analyst,0.60,survey
STU-0066,delivery_mode,online,0.65,survey
STU-0066,time_of_day,morning,0.57,survey
STU-0066,skills_to_build,cloud-computing|devops,0.68,advisor_note
STU-0067,career_goal,cybersecurity-analyst,0.83,survey
STU-0067,delivery_mode,hybrid,0.56,survey
STU-0067,time_of_day,afternoon,0.25,survey
STU-0067,skills_to_build,leadership|communication,0.71,advisor_note
STU-0068,career_goal,ai-specialist,0.92,survey
STU-0068,delivery_mode,in-person,0.31,survey
STU-0068,time_of_day,morning,0.53,survey
STU-0068,skills_to_build,data-analytics|visualization,0.61,advisor_note
STU-0069,career_goal,product-manager,0.97,survey
STU-0069,delivery_mode,hybrid,0.33,survey
STU-0069,time_of_day,morning,0.23,survey
STU-0069,skills_to_build,cybersecurity|threat-modeling,0.88,advisor_note
STU-0070,career_goal,data-analyst,0.64,survey
STU-0070,delivery_mode,online,0.62,survey
STU-0070,time_of_day,afternoon,0.59,survey
STU-0070,skills_to_build,cybersecurity|threat-modeling,0.75,advisor_note
STU-0071,career_goal,ai-specialist,0.75,survey
STU-0071,delivery_mode,in-person,0.75,survey
STU-0071,time_of_day,evening,0.37,survey
STU-0071,skills_to_build,machine-learning|model-deployment,0.63,advisor_note
STU-0072,career_goal,ai-specialist,0.98,survey
STU-0072,delivery_mode,hybrid,0.34,survey
STU-0072,time_of_day,evening,0.32,survey
STU-0072,skills_to_build,cybersecurity|threat-modeling,0.45,advisor_note
STU-0073,career_goal,cybersecurity-analyst,0.88,survey
STU-0073,delivery_mode,online,0.54,survey
STU-0073,time_of_day,afternoon,0.50,survey
STU-0073,skills_to_build,machine-learning|model-deployment,0.60,advisor_note
STU-0074,career_goal,product-manager,0.94,survey
STU-0074,delivery_mode,online,0.63,survey
STU-0074,time_of_day,morning,0.46,survey
STU-0074,skills_to_build,cloud-computing|devops,0.59,advisor_note
STU-0075,career_goal,product-manager,0.82,survey
STU-0075,delivery_mode,in-person,0.59,survey
STU-0075,time_of_day,morning,0.45,survey
STU-0075,skills_to_build,data-analytics|visualization,0.50,advisor_note
STU-0076,career_goal,product-manager,0.76,survey
STU-0076,delivery_mode,in-person,0.35,survey
STU-0076,time_of_day,afternoon,0.23,survey
STU-0076,skills_to_build,leadership|communication,0.50,advisor_note
STU-0077,career_goal,software-architect,0.65,survey
STU-0077,delivery_mode,hybrid,0.73,survey
STU-0077,time_of_day,afternoon,0.21,survey
STU-0077,skills_to_build,cloud-computing|devops,0.46,advisor_note
STU-0078,career_goal,cybersecurity-analyst,0.99,survey
STU-0078,delivery_mode,online,0.78,survey
STU-0078,time_of_day,morning,0.28,survey
STU-0078,skills_to_build,machine-learning|model-deployment,0.41,advisor_note
STU-0079,career_goal,ai-specialist,0.76,survey
STU-0079,delivery_mode,hybrid,0.31,survey
STU-0079,time_of_day,morning,0.56,survey
STU-0079,skills_to_build,cloud-computing|devops,0.86,advisor_note
STU-0080,career_goal,cloud-engineer,0.76,survey
STU-0080,delivery_mode,in-person,0.41,survey
STU-0080,time_of_day,morning,0.42,survey
STU-0080,skills_to_build,machine-learning|model-deployment,0.49,advisor_note
STU-0081,career_goal,cloud-engineer,0.86,survey
STU-0081,delivery_mode,online,0.72,survey
STU-0081,time_of_day,evening,0.34,survey
STU-0081,skills_to_build,leadership|communication,0.42,advisor_note
STU-0082,career_goal,cybersecurity-analyst,0.86,survey
STU-0082,delivery_mode,in-person,0.34,survey
STU-0082,time_of_day,evening,0.26,survey
STU-0082,skills_to_build,machine-learning|model-deployment,0.47,advisor_note
STU-0083,career_goal,ai-specialist,0.99,survey
STU-0083,delivery_mode,in-person,0.73,survey
STU-0083,time_of_day,evening,0.24,survey
STU-0083,skills_to_build,cloud-computing|devops,0.71,advisor_note
STU-0084,career_goal,software-architect,0.70,survey
STU-0084,delivery_mode,hybrid,0.80,survey
STU-0084,time_of_day,afternoon,0.44,survey
STU-0084,skills_to_build,machine-learning|model-deployment,0.65,advisor_note
STU-0085,career_goal,cybersecurity-analyst,0.81,survey
STU-0085,delivery_mode,online,0.35,survey
STU-0085,time_of_day,evening,0.29,survey
STU-0085,skills_to_build,machine-learning|model-deployment,0.68,advisor_note
STU-0086,career_goal,product-manager,0.73,survey
STU-0086,delivery_mode,online,0.76,survey
STU-0086,time_of_day,evening,0.41,survey
STU-0086,skills_to_build,machine-learning|model-deployment,0.89,advisor_note
STU-0087,career_goal,data-analyst,0.87,survey
STU-0087,delivery_mode,in-person,0.38,survey
STU-0087,time_of_day,afternoon,0.34,survey
STU-0087,skills_to_build,leadership|communication,0.84,advisor_note
STU-0088,career_goal,data-analyst,0.61,survey
STU-0088,delivery_mode,hybrid,0.71,survey
STU-0088,time_of_day,evening,0.30,survey
STU-0088,skills_to_build,machine-learning|model-deployment,0.61,advisor_note
STU-0089,career_goal,cloud-engineer,0.77,survey
STU-0089,delivery_mode,in-person,0.50,survey
STU-0089,time_of_day,evening,0.31,survey
STU-0089,skills_to_build,machine-learning|model-deployment,0.59,advisor_note
STU-0090,career_goal,ai-specialist,0.92,survey
STU-0090,delivery_mode,hybrid,0.43,survey
STU-0090,time_of_day,afternoon,0.50,survey
STU-0090,skills_to_build,data-analytics|visualization,0.54,advisor_note
STU-0091,career_goal,cybersecurity-analyst,0.64,survey
STU-0091,delivery_mode,hybrid,0.38,survey
STU-0091,time_of_day,afternoon,0.50,survey
STU-0091,skills_to_build,leadership|communication,0.54,advisor_note
STU-0092,career_goal,data-analyst,0.70,survey
STU-0092,delivery_mode,online,0.65,survey
STU-0092,time_of_day,evening,0.59,survey
STU-0092,skills_to_build,leadership|communication,0.49,advisor_note
STU-0093,career_goal,product-manager,0.97,survey
STU-0093,delivery_mode,hybrid,0.59,survey
STU-0093,time_of_day,afternoon,0.33,survey
STU-0093,skills_to_build,cybersecurity|threat-modeling,0.63,advisor_note
STU-0094,career_goal,cybersecurity-analyst,0.60,survey
STU-0094,delivery_mode,online,0.32,survey
STU-0094,time_of_day,evening,0.32,survey
STU-0094,skills_to_build,leadership|communication,0.60,advisor_note
STU-0095,career_goal,product-manager,0.87,survey
STU-0095,delivery_mode,online,0.41,survey
STU-0095,time_of_day,morning,0.59,survey
STU-0095,skills_to_build,machine-learning|model-deployment,0.68,advisor_note
STU-0096,career_goal,cloud-engineer,1.00,survey
STU-0096,delivery_mode,in-person,0.41,survey
STU-0096,time_of_day,afternoon,0.31,survey
STU-0096,skills_to_build,cloud-computing|devops,0.85,advisor_note
STU-0097,career_goal,product-manager,0.75,survey
STU-0097,delivery_mode,hybrid,0.71,survey
STU-0097,time_of_day,afternoon,0.37,survey
STU-0097,skills_to_build,cloud-computing|devops,0.90,advisor_note
STU-0098,career_goal,product-manager,0.77,survey
STU-0098,delivery_mode,in-person,0.49,survey
STU-0098,time_of_day,morning,0.39,survey
STU-0098,skills_to_build,machine-learning|model-deployment,0.87,advisor_note
STU-0099,career_goal,cybersecurity-analyst,0.72,survey
STU-0099,delivery_mode,online,0.53,survey
STU-0099,time_of_day,evening,0.24,survey
STU-0099,skills_to_build,cloud-computing|devops,0.58,advisor_note
STU-0100,career_goal,data-analyst,0.83,survey
STU-0100,delivery_mode,hybrid,0.66,survey
STU-0100,time_of_day,evening,0.44,survey
STU-0100,skills_to_build,cybersecurity|threat-modeling,0.73,advisor_note
STU-0101,career_goal,ai-specialist,0.74,survey
STU-0101,delivery_mode,online,0.45,survey
STU-0101,time_of_day,morning,0.33,survey
STU-0101,skills_to_build,leadership|communication,0.89,advisor_note
STU-0102,career_goal,cloud-engineer,0.64,survey
STU-0102,delivery_mode,in-person,0.78,survey
STU-0102,time_of_day,afternoon,0.54,survey
STU-0102,skills_to_build,cybersecurity|threat-modeling,0.55,advisor_note
STU-0103,career_goal,cybersecurity-analyst,0.62,survey
STU-0103,delivery_mode,in-person,0.39,survey
STU-0103,time_of_day,morning,0.54,survey
STU-0103,skills_to_build,machine-learning|model-deployment,0.80,advisor_note
STU-0104,career_goal,data-analyst,0.97,survey
STU-0104,delivery_mode,hybrid,0.50,survey
STU-0104,time_of_day,morning,0.49,survey
STU-0104,skills_to_build,cloud-computing|devops,0.43,advisor_note
STU-0105,career_goal,cloud-engineer,0.68,survey
STU-0105,delivery_mode,hybrid,0.54,survey
STU-0105,time_of_day,morning,0.27,survey
STU-0105,skills_to_build,cybersecurity|threat-modeling,0.80,advisor_note
STU-0106,career_goal,product-manager,0.69,survey
STU-0106,delivery_mode,in-person,0.40,survey
STU-0106,time_of_day,evening,0.47,survey
STU-0106,skills_to_build,data-analytics|visualization,0.61,advisor_note
STU-0107,career_goal,data-analyst,0.63,survey
STU-0107,delivery_mode,online,0.66,survey
STU-0107,time_of_day,evening,0.22,survey
STU-0107,skills_to_build,cloud-computing|devops,0.57,advisor_note
STU-0108,career_goal,ai-specialist,0.98,survey
STU-0108,delivery_mode,online,0.61,survey
STU-0108,time_of_day,evening,0.42,survey
STU-0108,skills_to_build,machine-learning|model-deployment,0.70,advisor_note
STU-0109,career_goal,cloud-engineer,0.84,survey
STU-0109,delivery_mode,in-person,0.40,survey
STU-0109,time_of_day,morning,0.60,survey
STU-0109,skills_to_build,data-analytics|visualization,0.73,advisor_note
STU-0110,career_goal,data-analyst,0.80,survey
STU-0110,delivery_mode,in-person,0.39,survey
STU-0110,time_of_day,afternoon,0.39,survey
STU-0110,skills_to_build,cloud-computing|devops,0.55,advisor_note
STU-0111,career_goal,data-analyst,0.68,survey
STU-0111,delivery_mode,online,0.44,survey
STU-0111,time_of_day,afternoon,0.50,survey
STU-0111,skills_to_build,cybersecurity|threat-modeling,0.69,advisor_note
STU-0112,career_goal,cloud-engineer,0.68,survey
STU-0112,delivery_mode,hybrid,0.34,survey
STU-0112,time_of_day,evening,0.51,survey
STU-0112,skills_to_build,data-analytics|visualization,0.74,advisor_note
STU-0113,career_goal,cloud-engineer,0.72,survey
STU-0113,delivery_mode,in-person,0.36,survey
STU-0113,time_of_day,evening,0.25,survey
STU-0113,skills_to_build,data-analytics|visualization,0.75,advisor_note
STU-0114,career_goal,software-architect,0.90,survey
STU-0114,delivery_mode,online,0.47,survey
STU-0114,time_of_day,morning,0.28,survey
STU-0114,skills_to_build,data-analytics|visualization,0.73,advisor_note
STU-0115,career_goal,software-architect,0.63,survey
STU-0115,delivery_mode,hybrid,0.36,survey
STU-0115,time_of_day,morning,0.23,survey
STU-0115,skills_to_build,data-analytics|visualization,0.72,advisor_note
STU-0116,career_goal,product-manager,0.86,survey
STU-0116,delivery_mode,online,0.51,survey
STU-0116,time_of_day,afternoon,0.26,survey
STU-0116,skills_to_build,leadership|communication,0.56,advisor_note
STU-0117,career_goal,cloud-engineer,0.67,survey
STU-0117,delivery_mode,hybrid,0.42,survey
STU-0117,time_of_day,morning,0.27,survey
STU-0117,skills_to_build,cybersecurity|threat-modeling,0.77,advisor_note
STU-0118,career_goal,product-manager,0.92,survey
STU-0118,delivery_mode,hybrid,0.48,survey
STU-0118,time_of_day,evening,0.44,survey
STU-0118,skills_to_build,machine-learning|model-deployment,0.70,advisor_note
STU-0119,career_goal,ai-specialist,0.66,survey
STU-0119,delivery_mode,hybrid,0.57,survey
STU-0119,time_of_day,morning,0.59,survey
STU-0119,skills_to_build,cybersecurity|threat-modeling,0.52,advisor_note
STU-0120,career_goal,ai-specialist,0.90,survey
STU-0120,delivery_mode,in-person,0.52,survey
STU-0120,time_of_day,morning,0.58,survey
STU-0120,skills_to_build,leadership|communication,0.58,advisor_note
STU-0015,skills_to_build,deep-learning,0.8,survey
STU-0004,skills_to_build,statistical-learning,0.79,survey
STU-0095,skills_to_build,neural-networks,0.54,survey
STU-0095,skills_to_build,deep-learning,0.7,survey
STU-0036,skills_to_build,cryptography,0.67,advisor_note
STU-0032,skills_to_build,deep-learning,0.78,advisor_note
STU-0032,skills_to_build,computational-geometry,0.61,survey
STU-0029,skills_to_build,pattern-recognition,0.65,advisor_note
STU-0029,skills_to_build,ai-fundamentals,0.84,advisor_note
STU-0018,skills_to_build,graph-databases,0.71,advisor_note
STU-0118,skills_to_build,cryptography,0.62,advisor_note
STU-0014,skills_to_build,ai-fundamentals,0.52,survey
STU-0087,skills_to_build,ai-fundamentals,0.85,advisor_note
STU-0087,skills_to_build,virtual-reality,0.61,advisor_note
STU-0113,skills_to_build,information-retrieval,0.64,advisor_note
STU-0070,skills_to_build,computational-geometry,0.71,survey
STU-0012,skills_to_build,graph-databases,0.65,survey
STU-0076,skills_to_build,neural-networks,0.83,advisor_note
STU-0076,skills_to_build,virtual-reality,0.66,survey
STU-0055,skills_to_build,data-visualization,0.59,advisor_note
STU-0005,skills_to_build,graph-databases,0.61,survey
STU-0005,skills_to_build,statistical-learning,0.8,advisor_note
STU-0119,skills_to_build,search-algorithms,0.59,survey
STU-0119,skills_to_build,information-retrieval,0.7,survey
STU-0108,skills_to_build,pattern-recognition,0.56,survey
STU-0028,skills_to_build,ai-fundamentals,0.65,advisor_note
STU-0028,skills_to_build,search-algorithms,0.71,survey
STU-0030,skills_to_build,cryptography,0.8,advisor_note
STU-0065,skills_to_build,3d-animation,0.67,advisor_note
STU-0078,skills_to_build,3d-graphics,0.89,survey
STU-0104,skills_to_build,3d-animation,0.84,survey
STU-0072,skills_to_build,information-retrieval,0.81,survey
STU-0026,skills_to_build,functional-programming,0.54,advisor_note
STU-0026,skills_to_build,deep-learning,0.85,advisor_note
STU-0092,skills_to_build,neural-networks,0.6,survey
STU-0084,skills_to_build,functional-programming,0.83,survey
STU-0090,skills_to_build,functional-programming,0.88,survey
STU-0109,skills_to_build,privacy,0.89,survey
STU-0109,skills_to_build,nosql,0.79,advisor_note
STU-0054,skills_to_build,graph-databases,0.68,survey
STU-0054,skills_to_build,privacy,0.59,advisor_note
STU-0115,skills_to_build,cryptography,0.59,survey
STU-0058,skills_to_build,ai-fundamentals,0.78,survey
STU-0107,skills_to_build,ai-fundamentals,0.86,advisor_note
STU-0117,skills_to_build,privacy,0.6,advisor_note
STU-0001,skills_to_build,cryptography,0.55,advisor_note
STU-0021,skills_to_build,functional-programming,0.82,survey
STU-0106,skills_to_build,pattern-recognition,0.76,advisor_note
STU-0044,skills_to_build,nosql,0.85,survey
